dates,l1,ssim,accuracy
2020-01-01,0.1913,0.5387,0.9608
2020-01-08,0.1905,0.5774,0.9659
2020-01-15,0.169,0.6098,0.9678
2020-01-22,0.1587,0.6198,0.9699
2020-01-29,0.1492,0.6333,0.9702
2020-02-05,0.1271,0.6441,0.9704
2020-02-12,0.1252,0.6698,0.971
2020-02-19,0.1144,0.6947,0.971
2020-02-26,0.106,0.7226,0.9707
2020-03-04,0.0996,0.7471,0.9704
2020-03-11,0.1038,0.7512,0.9694
2020-03-18,0.0952,0.7783,0.9685
2020-03-25,0.0927,0.7697,0.9686
2020-04-01,0.0789,0.7923,0.9697
2020-04-08,0.0826,0.7857,0.9713
2020-04-15,0.0784,0.8137,0.9728
2020-04-22,0.0785,0.8279,0.9733
2020-04-29,0.0765,0.8037,0.9734
2020-05-06,0.0873,0.7857,0.9716
2020-05-13,0.0981,0.748,0.9645
2020-05-20,0.1073,0.7088,0.941
2020-05-27,0.0974,0.6991,0.954
2020-06-03,0.0997,0.6764,0.9345
2020-06-10,0.0915,0.6695,0.9396
2020-06-17,0.1144,0.6107,0.9392
2020-06-24,0.093,0.6482,0.9395
2020-07-01,0.1308,0.5511,0.9232
2020-07-08,0.1377,0.5632,0.8793
2020-07-15,0.1386,0.5493,0.8388
2020-07-22,0.1662,0.5309,0.8185
2020-07-29,0.2039,0.4943,0.8165
2020-08-05,0.2324,0.4387,0.8395
2020-08-12,0.2603,0.3773,0.8127
2020-08-19,0.2915,0.3009,0.6578
2020-08-26,0.2763,0.2834,0.6512
2020-09-02,0.2427,0.2889,0.6594
2020-09-09,0.2125,0.3072,0.7011
2020-09-16,0.199,0.3048,0.7298
2020-09-23,0.1663,0.3412,0.7761
2020-09-30,0.1779,0.325,0.755
2020-10-07,0.1579,0.3759,0.7692
2020-10-14,0.1209,0.4687,0.8008
2020-10-21,0.1416,0.4745,0.7557
2020-10-28,0.1286,0.5112,0.7849
2020-11-04,0.1174,0.5704,0.8562
2020-11-11,0.1208,0.5816,0.8745
2020-11-18,0.1118,0.5907,0.8922
2020-11-25,0.1273,0.5971,0.8786
2020-12-02,0.1228,0.6417,0.9326
2020-12-09,0.153,0.608,0.9355
2020-12-16,0.1796,0.5455,0.9259
2020-12-23,0.1913,0.5569,0.9433
2021-01-01,0.2359,0.4066,0.9389
2021-01-08,0.2148,0.4636,0.9533
2021-01-15,0.1708,0.5458,0.9635
2021-01-22,0.1495,0.6047,0.9716
2021-01-29,0.133,0.6354,0.9722
2021-02-05,0.1141,0.6574,0.9721
2021-02-12,0.1172,0.6343,0.9719
2021-02-19,0.1223,0.6215,0.9706
2021-02-26,0.1249,0.618,0.97
2021-03-05,0.1161,0.6369,0.9699
2021-03-12,0.1198,0.6337,0.9709
2021-03-19,0.1189,0.6519,0.9716
2021-03-26,0.1189,0.6657,0.9722
2021-04-02,0.1136,0.6629,0.9733
2021-04-09,0.1142,0.6793,0.9736
2021-04-16,0.1155,0.7094,0.974
2021-04-23,0.1076,0.7042,0.9737
2021-04-30,0.0952,0.7319,0.9735
2021-05-07,0.0886,0.7552,0.9735
2021-05-14,0.088,0.7299,0.97
2021-05-21,0.0845,0.7262,0.9703
2021-05-28,0.0733,0.7028,0.9803
2021-06-04,0.0804,0.7184,0.9737
2021-06-11,0.0851,0.6604,0.9556
2021-06-18,0.1005,0.5927,0.9461
2021-06-25,0.0753,0.6325,0.9334
2021-07-02,0.0763,0.565,0.933
2021-07-09,0.0906,0.5462,0.9404
2021-07-16,0.1208,0.4883,0.9295
2021-07-23,0.131,0.4941,0.9255
2021-07-30,0.1413,0.4286,0.9059
2021-08-06,0.1569,0.4152,0.8802
2021-08-13,0.163,0.394,0.8962
2021-08-20,0.1817,0.3408,0.8824
2021-08-27,0.1996,0.305,0.8376
2021-09-03,0.1723,0.3285,0.8388
2021-09-10,0.1585,0.3165,0.8042
2021-09-17,0.1541,0.3285,0.8019
2021-09-24,0.1643,0.364,0.8311
2021-10-01,0.1643,0.359,0.847
2021-10-08,0.1729,0.3704,0.8542
2021-10-15,0.1717,0.3962,0.8976
2021-10-22,0.1552,0.4396,0.9237
2021-10-29,0.1655,0.4628,0.9293
2021-11-05,0.1582,0.4923,0.9176
2021-11-12,0.1781,0.5126,0.89
2021-11-19,0.2278,0.5213,0.8669
2021-11-26,0.2123,0.5513,0.8927
2021-12-03,0.1846,0.5895,0.9309
2021-12-10,0.184,0.5976,0.9521
2021-12-17,0.1821,0.5781,0.962
2021-12-24,0.1686,0.5567,0.9637
2022-01-01,0.1884,0.6096,0.9696
2022-01-08,0.1687,0.6441,0.9702
2022-01-15,0.1719,0.6712,0.9699
2022-01-22,0.168,0.669,0.9697
2022-01-29,0.1781,0.6472,0.9683
2022-02-05,0.1771,0.6302,0.9673
2022-02-12,0.1785,0.6365,0.9674
2022-02-19,0.1678,0.6689,0.9676
2022-02-26,0.1279,0.7253,0.9687
2022-03-05,0.1249,0.7656,0.9699
2022-03-12,0.1034,0.791,0.9709
2022-03-19,0.0919,0.7841,0.9712
2022-03-26,0.0849,0.7938,0.9719
2022-04-02,0.0766,0.7941,0.9727
2022-04-09,0.0918,0.7865,0.972
2022-04-16,0.0796,0.788,0.972
2022-04-23,0.0972,0.7807,0.9732
2022-04-30,0.093,0.7628,0.9757
2022-05-07,0.088,0.7434,0.9767
2022-05-14,0.0796,0.7211,0.9829
2022-05-21,0.0848,0.7428,0.9865
2022-05-28,0.0818,0.7022,0.9747
2022-06-04,0.0748,0.6575,0.9662
2022-06-11,0.0673,0.6751,0.9495
2022-06-18,0.0725,0.6761,0.9376
2022-06-25,0.1429,0.6064,0.9182
2022-07-02,0.1488,0.5817,0.9041
2022-07-09,0.1346,0.573,0.9019
2022-07-16,0.1133,0.5707,0.9143
2022-07-23,0.1285,0.5871,0.8824
2022-07-30,0.1067,0.5621,0.8921
2022-08-06,0.178,0.5078,0.8564
2022-08-13,0.2145,0.4224,0.8197
2022-08-20,0.2042,0.3782,0.8022
2022-08-27,0.2464,0.3429,0.7075
2022-09-03,0.2663,0.2893,0.6463
2022-09-10,0.2908,0.2524,0.5944
2022-09-17,0.2596,0.2921,0.5827
2022-09-24,0.2116,0.3374,0.6443
2022-10-01,0.169,0.3756,0.7141
2022-10-08,0.2026,0.3639,0.7032
2022-10-15,0.1479,0.4745,0.8148
2022-10-22,0.1202,0.5134,0.8455
2022-10-29,0.1234,0.5653,0.8658
2022-11-05,0.1474,0.563,0.8858
2022-11-12,0.1583,0.5246,0.8774
2022-11-19,0.1702,0.5057,0.8502
2022-11-26,0.1941,0.5318,0.8921
2022-12-03,0.1838,0.5398,0.941
2022-12-10,0.1749,0.5642,0.9737
2022-12-17,0.1585,0.6032,0.979
2022-12-24,0.1532,0.6273,0.9727
2023-01-01,0.1832,0.5976,0.9662
2023-01-08,0.1962,0.5835,0.9683
2023-01-15,0.1997,0.5724,0.9681
2023-01-22,0.2326,0.5345,0.9648
2023-01-29,0.2496,0.5038,0.9595
2023-02-05,0.2478,0.4993,0.9609
2023-02-12,0.2342,0.5056,0.9624
2023-02-19,0.2176,0.5412,0.9655
2023-02-26,0.1793,0.6036,0.967
2023-03-05,0.1557,0.6588,0.969
2023-03-12,0.1284,0.6603,0.9707
2023-03-19,0.1093,0.6646,0.972
2023-03-26,0.0989,0.6886,0.9731
2023-04-02,0.1018,0.7225,0.9736
2023-04-09,0.0934,0.7289,0.9737
2023-04-16,0.0918,0.7601,0.9737
2023-04-23,0.0808,0.785,0.9737
2023-04-30,0.0841,0.7858,0.9737
2023-05-07,0.0938,0.7719,0.9732
2023-05-14,0.0783,0.7146,0.9732
2023-05-21,0.0903,0.6242,0.9699
2023-05-28,0.0915,0.6831,0.9739
2023-06-04,0.1029,0.6591,0.9692
2023-06-11,0.095,0.6786,0.9683
2023-06-18,0.0793,0.6545,0.959
2023-06-25,0.0641,0.6731,0.9644
2023-07-02,0.0868,0.6219,0.9653
2023-07-09,0.1045,0.6043,0.9658
2023-07-16,0.1335,0.6186,0.965
2023-07-23,0.1701,0.5614,0.9434
2023-07-30,0.2498,0.4507,0.8809
2023-08-06,0.2785,0.3959,0.791
2023-08-13,0.2922,0.3858,0.749
2023-08-20,0.3268,0.3147,0.6774
2023-08-27,0.3339,0.285,0.6275
2023-09-03,0.3319,0.2527,0.5993
2023-09-10,0.3249,0.235,0.5894
2023-09-17,0.3338,0.2172,0.5599
2023-09-24,0.3085,0.2199,0.5753
2023-10-01,0.3207,0.2193,0.5412
2023-10-08,0.2512,0.2907,0.6246
2023-10-15,0.2168,0.3433,0.6991
2023-10-22,0.179,0.4521,0.7733
2023-10-29,0.1751,0.4581,0.7782
2023-11-05,0.1579,0.5163,0.8446
2023-11-12,0.1654,0.4938,0.8732
2023-11-19,0.1641,0.5179,0.9272
2023-11-26,0.1708,0.5319,0.9135
2023-12-03,0.1842,0.5267,0.9164
2023-12-10,0.2291,0.5192,0.9122
2023-12-17,0.259,0.5076,0.9099
2023-12-24,0.2709,0.503,0.9102
