dates,l1,ssim,accuracy
2020-01-01,0.1219,0.6172,0.9755
2020-01-08,0.1106,0.6633,0.978
2020-01-15,0.0875,0.7121,0.9797
2020-01-22,0.0904,0.7247,0.98
2020-01-29,0.0855,0.733,0.9803
2020-02-05,0.0767,0.7519,0.9803
2020-02-12,0.0696,0.7606,0.9803
2020-02-19,0.0773,0.7523,0.9803
2020-02-26,0.0765,0.7364,0.9803
2020-03-04,0.0825,0.703,0.9802
2020-03-11,0.0948,0.6958,0.9803
2020-03-18,0.1109,0.6759,0.98
2020-03-25,0.1216,0.6622,0.9799
2020-04-01,0.1247,0.6606,0.9783
2020-04-08,0.1233,0.6707,0.9731
2020-04-15,0.1169,0.6719,0.9711
2020-04-22,0.1126,0.6766,0.9766
2020-04-29,0.094,0.6756,0.9805
2020-05-06,0.0816,0.6993,0.9806
2020-05-13,0.0762,0.7223,0.9806
2020-05-20,0.0834,0.7303,0.971
2020-05-27,0.1124,0.6758,0.9507
2020-06-03,0.1111,0.6784,0.9345
2020-06-10,0.1269,0.6319,0.9155
2020-06-17,0.132,0.6134,0.8979
2020-06-24,0.1307,0.6006,0.8957
2020-07-01,0.157,0.56,0.8654
2020-07-08,0.2011,0.4956,0.7882
2020-07-15,0.2518,0.4294,0.699
2020-07-22,0.3047,0.4027,0.6325
2020-07-29,0.3064,0.3804,0.6025
2020-08-05,0.3013,0.3831,0.5989
2020-08-12,0.2623,0.3696,0.6164
2020-08-19,0.2288,0.3769,0.6501
2020-08-26,0.2434,0.3668,0.6568
2020-09-02,0.2559,0.3494,0.641
2020-09-09,0.2762,0.3407,0.5994
2020-09-16,0.3102,0.3188,0.541
2020-09-23,0.3329,0.3037,0.4911
2020-09-30,0.3668,0.2982,0.4529
2020-10-07,0.3789,0.3118,0.4731
2020-10-14,0.3938,0.3192,0.4815
2020-10-21,0.378,0.3354,0.5105
2020-10-28,0.3144,0.4035,0.6001
2020-11-04,0.1862,0.4865,0.8668
2020-11-11,0.1893,0.4995,0.9471
2020-11-18,0.1729,0.5747,0.9345
2020-11-25,0.179,0.6168,0.9499
2020-12-02,0.1498,0.6182,0.9511
2020-12-09,0.1566,0.6284,0.962
2020-12-16,0.1317,0.6419,0.9766
2020-12-23,0.1063,0.6579,0.9776
2021-01-01,0.1509,0.5815,0.9531
2021-01-08,0.1294,0.6158,0.9591
2021-01-15,0.1199,0.6461,0.9636
2021-01-22,0.109,0.6741,0.9662
2021-01-29,0.1004,0.6913,0.968
2021-02-05,0.0843,0.7024,0.9681
2021-02-12,0.0796,0.7222,0.9683
2021-02-19,0.0822,0.7332,0.9685
2021-02-26,0.0827,0.7334,0.969
2021-03-05,0.088,0.7212,0.9692
2021-03-12,0.086,0.707,0.9696
2021-03-19,0.1003,0.691,0.9699
2021-03-26,0.1088,0.6803,0.97
2021-04-02,0.1139,0.6709,0.9698
2021-04-09,0.1203,0.6701,0.9685
2021-04-16,0.1156,0.6781,0.9664
2021-04-23,0.1104,0.6825,0.969
2021-04-30,0.0966,0.6882,0.968
2021-05-07,0.0912,0.7083,0.9674
2021-05-14,0.0912,0.7133,0.9676
2021-05-21,0.0892,0.7176,0.967
2021-05-28,0.102,0.685,0.9477
2021-06-04,0.1144,0.6632,0.9257
2021-06-11,0.1317,0.6223,0.9024
2021-06-18,0.1537,0.5936,0.8836
2021-06-25,0.1583,0.585,0.869
2021-07-02,0.1621,0.566,0.8663
2021-07-09,0.2127,0.4774,0.7917
2021-07-16,0.2384,0.424,0.7408
2021-07-23,0.2422,0.4271,0.7185
2021-07-30,0.2758,0.3895,0.6803
2021-08-06,0.294,0.3595,0.6627
2021-08-13,0.2948,0.3615,0.6517
2021-08-20,0.2891,0.3534,0.6394
2021-08-27,0.2703,0.3655,0.652
2021-09-03,0.239,0.3891,0.6843
2021-09-10,0.2212,0.3919,0.6803
2021-09-17,0.2044,0.422,0.6959
2021-09-24,0.2171,0.4046,0.67
2021-10-01,0.2379,0.3904,0.6266
2021-10-08,0.2347,0.4315,0.6559
2021-10-15,0.2134,0.4608,0.7094
2021-10-22,0.1544,0.5357,0.9144
2021-10-29,0.1814,0.5523,0.9492
2021-11-05,0.2041,0.5313,0.9418
2021-11-12,0.2621,0.5023,0.925
2021-11-19,0.2724,0.4944,0.9172
2021-11-26,0.2497,0.5102,0.9179
2021-12-03,0.2373,0.526,0.9187
2021-12-10,0.2098,0.5612,0.9231
2021-12-17,0.1835,0.5903,0.932
2021-12-24,0.1515,0.6234,0.9494
2022-01-01,0.106,0.6801,0.9745
2022-01-08,0.0816,0.7271,0.9757
2022-01-15,0.0757,0.7491,0.9766
2022-01-22,0.0739,0.7527,0.9764
2022-01-29,0.0741,0.7342,0.9758
2022-02-05,0.0774,0.754,0.9749
2022-02-12,0.0788,0.7414,0.9729
2022-02-19,0.0831,0.7277,0.972
2022-02-26,0.0939,0.7066,0.9716
2022-03-05,0.1027,0.6905,0.9721
2022-03-12,0.1054,0.684,0.9737
2022-03-19,0.1029,0.6741,0.9745
2022-03-26,0.1134,0.6729,0.9748
2022-04-02,0.1144,0.6758,0.9747
2022-04-09,0.1172,0.6557,0.9742
2022-04-16,0.1233,0.6594,0.973
2022-04-23,0.1249,0.6402,0.9698
2022-04-30,0.112,0.6534,0.9673
2022-05-07,0.1028,0.6808,0.9665
2022-05-14,0.0962,0.7083,0.9662
2022-05-21,0.0986,0.67,0.9581
2022-05-28,0.0919,0.6959,0.9592
2022-06-04,0.0949,0.6951,0.9492
2022-06-11,0.1264,0.6732,0.9264
2022-06-18,0.1348,0.6509,0.9173
2022-06-25,0.1282,0.644,0.9154
2022-07-02,0.1409,0.5985,0.9099
2022-07-09,0.1598,0.5616,0.8941
2022-07-16,0.1807,0.5116,0.849
2022-07-23,0.1885,0.4859,0.7755
2022-07-30,0.2319,0.4343,0.7212
2022-08-06,0.2252,0.4316,0.7138
2022-08-13,0.2461,0.3955,0.694
2022-08-20,0.2468,0.3972,0.6808
2022-08-27,0.2672,0.3742,0.6602
2022-09-03,0.2637,0.377,0.6467
2022-09-10,0.2417,0.3809,0.6417
2022-09-17,0.2513,0.3937,0.6195
2022-09-24,0.2422,0.4307,0.6223
2022-10-01,0.238,0.4399,0.648
2022-10-08,0.2137,0.5044,0.6999
2022-10-15,0.2159,0.494,0.7218
2022-10-22,0.1701,0.5391,0.8185
2022-10-29,0.1462,0.6076,0.9541
2022-11-05,0.1847,0.5869,0.9634
2022-11-12,0.2358,0.5385,0.9485
2022-11-19,0.2447,0.5307,0.9408
2022-11-26,0.2379,0.5364,0.9364
2022-12-03,0.21,0.5549,0.9357
2022-12-10,0.1885,0.5971,0.9412
2022-12-17,0.1522,0.6418,0.9514
2022-12-24,0.1153,0.6839,0.9655
2023-01-01,0.1052,0.6746,0.9803
2023-01-08,0.088,0.7113,0.9805
2023-01-15,0.0774,0.7462,0.9806
2023-01-22,0.0712,0.7643,0.9806
2023-01-29,0.0658,0.7742,0.9806
2023-02-05,0.0671,0.7828,0.9805
2023-02-12,0.0633,0.7923,0.9804
2023-02-19,0.0655,0.7795,0.9803
2023-02-26,0.0735,0.7779,0.9803
2023-03-05,0.0763,0.7575,0.9803
2023-03-12,0.0923,0.7327,0.9804
2023-03-19,0.0908,0.7231,0.9803
2023-03-26,0.095,0.7208,0.9804
2023-04-02,0.0919,0.7222,0.9804
2023-04-09,0.0873,0.7264,0.9803
2023-04-16,0.0924,0.7289,0.9803
2023-04-23,0.0801,0.7505,0.9803
2023-04-30,0.0788,0.7645,0.9803
2023-05-07,0.0711,0.7711,0.9803
2023-05-14,0.0725,0.7735,0.9804
2023-05-21,0.0706,0.7577,0.9805
2023-05-28,0.088,0.6774,0.975
2023-06-04,0.0829,0.7225,0.9743
2023-06-11,0.0945,0.7047,0.9692
2023-06-18,0.1051,0.6952,0.9574
2023-06-25,0.1123,0.6937,0.9442
2023-07-02,0.1169,0.6588,0.943
2023-07-09,0.1465,0.6,0.9243
2023-07-16,0.1816,0.5607,0.8703
2023-07-23,0.2221,0.5089,0.8122
2023-07-30,0.2368,0.4849,0.7871
2023-08-06,0.2586,0.456,0.759
2023-08-13,0.2951,0.4043,0.7015
2023-08-20,0.2592,0.4001,0.7108
2023-08-27,0.2604,0.3905,0.6997
2023-09-03,0.2508,0.404,0.7124
2023-09-10,0.2526,0.408,0.7097
2023-09-17,0.2604,0.4145,0.6865
2023-09-24,0.2496,0.4177,0.677
2023-10-01,0.2312,0.4596,0.6942
2023-10-08,0.2204,0.506,0.7095
2023-10-15,0.1671,0.5999,0.7766
2023-10-22,0.1076,0.6562,0.9194
2023-10-29,0.1226,0.6844,0.9766
2023-11-05,0.1415,0.628,0.9794
2023-11-12,0.1799,0.5518,0.9668
2023-11-19,0.2122,0.5269,0.9562
2023-11-26,0.2199,0.5218,0.948
2023-12-03,0.2112,0.531,0.9434
2023-12-10,0.1977,0.5635,0.9445
2023-12-17,0.1633,0.6033,0.9523
2023-12-24,0.1333,0.6548,0.9655
