dates,l1,ssim,accuracy
2020-01-01,0.0728,0.8956,0.9933
2020-01-08,0.0812,0.9081,0.9933
2020-01-15,0.0804,0.9105,0.9934
2020-01-22,0.0816,0.9063,0.9934
2020-01-29,0.0815,0.9077,0.9934
2020-02-05,0.0772,0.9083,0.9934
2020-02-12,0.0712,0.9125,0.9934
2020-02-19,0.0718,0.9173,0.9934
2020-02-26,0.0642,0.9023,0.9931
2020-03-04,0.0629,0.8903,0.993
2020-03-11,0.0693,0.9044,0.993
2020-03-18,0.0735,0.9098,0.993
2020-03-25,0.0812,0.9007,0.993
2020-04-01,0.0854,0.8932,0.9932
2020-04-08,0.089,0.8858,0.9932
2020-04-15,0.0919,0.8814,0.9932
2020-04-22,0.0873,0.8831,0.9932
2020-04-29,0.0671,0.8509,0.9932
2020-05-06,0.056,0.8485,0.9934
2020-05-13,0.0624,0.7917,0.9934
2020-05-20,0.0674,0.8025,0.9934
2020-05-27,0.0661,0.769,0.9891
2020-06-03,0.0855,0.7325,0.9847
2020-06-10,0.1029,0.6891,0.9773
2020-06-17,0.1764,0.6185,0.9614
2020-06-24,0.1672,0.5931,0.9451
2020-07-01,0.2096,0.5275,0.8879
2020-07-08,0.2793,0.4566,0.8036
2020-07-15,0.3329,0.3951,0.7051
2020-07-22,0.4087,0.3632,0.6109
2020-07-29,0.4405,0.3224,0.5434
2020-08-05,0.4486,0.2932,0.5362
2020-08-12,0.4745,0.2821,0.4854
2020-08-19,0.4936,0.246,0.4482
2020-08-26,0.4939,0.2521,0.4463
2020-09-02,0.4756,0.2529,0.4295
2020-09-09,0.4974,0.2448,0.4004
2020-09-16,0.5176,0.2219,0.3849
2020-09-23,0.4791,0.2558,0.4066
2020-09-30,0.5221,0.213,0.3618
2020-10-07,0.5155,0.2155,0.368
2020-10-14,0.488,0.2367,0.401
2020-10-21,0.4779,0.2492,0.4016
2020-10-28,0.431,0.3116,0.4869
2020-11-04,0.2311,0.4836,0.7935
2020-11-11,0.1147,0.6743,0.9615
2020-11-18,0.0809,0.8239,0.9875
2020-11-25,0.0968,0.848,0.9835
2020-12-02,0.0792,0.8641,0.9918
2020-12-09,0.0979,0.8861,0.9924
2020-12-16,0.089,0.8621,0.9865
2020-12-23,0.082,0.8615,0.9924
2021-01-01,0.074,0.8968,0.9931
2021-01-08,0.0739,0.9016,0.9934
2021-01-15,0.0745,0.8974,0.9933
2021-01-22,0.0784,0.9047,0.9933
2021-01-29,0.0762,0.9057,0.9933
2021-02-05,0.0614,0.887,0.9934
2021-02-12,0.0617,0.9011,0.9934
2021-02-19,0.0684,0.9088,0.9933
2021-02-26,0.0682,0.9068,0.9931
2021-03-05,0.064,0.9018,0.993
2021-03-12,0.0603,0.9003,0.993
2021-03-19,0.0691,0.9095,0.993
2021-03-26,0.0719,0.904,0.993
2021-04-02,0.0819,0.901,0.993
2021-04-09,0.0874,0.8933,0.993
2021-04-16,0.0871,0.893,0.993
2021-04-23,0.0791,0.8581,0.993
2021-04-30,0.0701,0.8866,0.9931
2021-05-07,0.0667,0.9004,0.9934
2021-05-14,0.0536,0.8874,0.9934
2021-05-21,0.0598,0.8447,0.9933
2021-05-28,0.067,0.7262,0.9908
2021-06-04,0.1075,0.6792,0.9734
2021-06-11,0.1079,0.6816,0.9579
2021-06-18,0.1363,0.6176,0.946
2021-06-25,0.1713,0.5917,0.9241
2021-07-02,0.1952,0.5252,0.913
2021-07-09,0.2829,0.429,0.8206
2021-07-16,0.3386,0.3643,0.7439
2021-07-23,0.3547,0.3453,0.7049
2021-07-30,0.3553,0.3442,0.6819
2021-08-06,0.3694,0.309,0.652
2021-08-13,0.4271,0.2833,0.5831
2021-08-20,0.4617,0.2713,0.5066
2021-08-27,0.482,0.2533,0.4801
2021-09-03,0.4671,0.2709,0.4894
2021-09-10,0.4234,0.3044,0.507
2021-09-17,0.4113,0.3164,0.5203
2021-09-24,0.3688,0.352,0.5485
2021-10-01,0.3314,0.3908,0.5934
2021-10-08,0.3155,0.4225,0.6372
2021-10-15,0.2387,0.5235,0.7598
2021-10-22,0.1194,0.7041,0.9697
2021-10-29,0.1054,0.7824,0.9934
2021-11-05,0.0904,0.8132,0.9934
2021-11-12,0.1066,0.8601,0.9934
2021-11-19,0.0963,0.8727,0.9933
2021-11-26,0.0968,0.8862,0.9933
2021-12-03,0.0898,0.8932,0.993
2021-12-10,0.0956,0.8843,0.9928
2021-12-17,0.1005,0.8849,0.9926
2021-12-24,0.1006,0.8855,0.9927
2022-01-01,0.084,0.9043,0.993
2022-01-08,0.0798,0.9023,0.9927
2022-01-15,0.0845,0.9005,0.9923
2022-01-22,0.0837,0.9011,0.9925
2022-01-29,0.0811,0.9035,0.9926
2022-02-05,0.0789,0.9039,0.9929
2022-02-12,0.0759,0.909,0.993
2022-02-19,0.0747,0.9124,0.993
2022-02-26,0.069,0.9079,0.9928
2022-03-05,0.0746,0.9147,0.9927
2022-03-12,0.0736,0.9132,0.9927
2022-03-19,0.0672,0.9026,0.9927
2022-03-26,0.0786,0.906,0.9927
