dates,l1,ssim,accuracy
2022-10-22,0.0913,0.5769,0.8832
2022-10-29,0.1223,0.5569,0.8273
2022-11-05,0.1268,0.5682,0.856
2022-11-12,0.1216,0.6096,0.8877
2022-11-19,0.1109,0.6397,0.8836
2022-11-26,0.1012,0.6535,0.8907
2022-12-03,0.1206,0.6379,0.8711
2022-12-10,0.103,0.678,0.9133
2022-12-17,0.0969,0.6855,0.9235
2022-12-24,0.0861,0.6961,0.9489
2023-01-01,0.0758,0.7172,0.939
2023-01-08,0.0715,0.7369,0.975
2023-01-15,0.0706,0.7382,0.961
2023-01-22,0.0679,0.7095,0.9632
2023-01-29,0.0551,0.7369,0.9705
2023-02-05,0.0689,0.7319,0.9714
2023-02-12,0.0783,0.6948,0.9433
2023-02-19,0.0736,0.6979,0.9564
2023-02-26,0.0645,0.7354,0.95
2023-03-05,0.052,0.7697,0.9718
2023-03-12,0.0596,0.7486,0.9604
2023-03-19,0.0525,0.7655,0.9804
2023-03-26,0.0634,0.7347,0.9751
2023-04-02,0.0682,0.7351,0.967
2023-04-09,0.0777,0.7325,0.9588
2023-04-16,0.0838,0.7093,0.9508
2023-04-23,0.075,0.7093,0.9515
2023-04-30,0.0752,0.712,0.9611
2023-05-07,0.0914,0.6822,0.9515
2023-05-14,0.0931,0.6941,0.9518
2023-05-21,0.0898,0.6817,0.9527
2023-05-28,0.0816,0.6755,0.9538
2023-06-04,0.0906,0.6595,0.9479
2023-06-11,0.0991,0.6254,0.9177
2023-06-18,0.0852,0.6418,0.9207
2023-06-25,0.0942,0.5971,0.9205
2023-07-02,0.0904,0.5994,0.9234
2023-07-09,0.0891,0.5899,0.9355
2023-07-16,0.0976,0.5444,0.9237
2023-07-23,0.0877,0.5508,0.9258
2023-07-30,0.0792,0.5512,0.9062
2023-08-06,0.0583,0.5892,0.9149
2023-08-13,0.0652,0.5611,0.9246
2023-08-20,0.0645,0.5563,0.9343
2023-08-27,0.0593,0.5661,0.9414
2023-09-03,0.052,0.6319,0.9496
2023-09-10,0.0331,0.617,0.9701
2023-09-17,0.0364,0.6247,0.9657
2023-09-24,0.0361,0.681,0.9679
2023-10-01,0.045,0.6527,0.9641
2023-10-08,0.0389,0.6653,0.9591
2023-10-15,0.0519,0.6517,0.9365
2023-10-22,0.0506,0.6667,0.9214
2023-10-29,0.0798,0.6598,0.9533
2023-11-05,0.0807,0.6632,0.9458
2023-11-12,0.0753,0.6854,0.9568
2023-11-19,0.0897,0.6539,0.9469
2023-11-26,0.0614,0.6966,0.9531
2023-12-03,0.0677,0.7091,0.9594
2023-12-10,0.0674,0.7333,0.9611
2023-12-17,0.0621,0.7207,0.9548
2023-12-24,0.0794,0.7286,0.9629
