dates,l1,ssim,accuracy
2020-01-01,0.1018,0.7691,0.9584
2020-01-08,0.0679,0.841,0.9868
2020-01-15,0.0406,0.8842,0.9885
2020-01-22,0.0379,0.8733,0.99
2020-01-29,0.0444,0.8855,0.9918
2020-02-05,0.0344,0.881,0.9923
2020-02-12,0.0383,0.8956,0.9931
2020-02-19,0.0388,0.8935,0.9936
2020-02-26,0.0374,0.8849,0.9934
2020-03-04,0.0417,0.8851,0.9936
2020-03-11,0.0386,0.8736,0.9937
2020-03-18,0.0412,0.87,0.9937
2020-03-25,0.0394,0.8622,0.9933
2020-04-01,0.0394,0.8634,0.9934
2020-04-08,0.049,0.8314,0.9923
2020-04-15,0.051,0.8453,0.9917
2020-04-22,0.0582,0.8234,0.9901
2020-04-29,0.0618,0.8113,0.9855
2020-05-06,0.0715,0.7954,0.977
2020-05-13,0.0709,0.7999,0.9544
2020-05-20,0.0636,0.7863,0.9521
2020-05-27,0.0876,0.7496,0.9525
2020-06-03,0.0791,0.7414,0.9785
2020-06-10,0.0933,0.7056,0.9719
2020-06-17,0.1056,0.6523,0.9561
2020-06-24,0.1144,0.677,0.944
2020-07-01,0.1034,0.5707,0.9335
2020-07-08,0.1212,0.5741,0.9463
2020-07-15,0.162,0.5373,0.9338
2020-07-22,0.1468,0.5494,0.8948
2020-07-29,0.1163,0.4661,0.863
2020-08-05,0.1098,0.4384,0.8331
2020-08-12,0.0966,0.45,0.8401
2020-08-19,0.0827,0.4558,0.8988
2020-08-26,0.0898,0.5173,0.8956
2020-09-02,0.0835,0.4873,0.8917
2020-09-09,0.0783,0.5341,0.8925
2020-09-16,0.0817,0.4843,0.8988
2020-09-23,0.0614,0.5343,0.9177
2020-09-30,0.1065,0.516,0.8857
2020-10-07,0.101,0.5123,0.9048
2020-10-14,0.0927,0.5439,0.9272
2020-10-21,0.1036,0.5572,0.9046
2020-10-28,0.091,0.6006,0.9109
2020-11-04,0.095,0.6361,0.9282
2020-11-11,0.0869,0.6532,0.9625
2020-11-18,0.0613,0.6661,0.9315
2020-11-25,0.1076,0.649,0.8178
2020-12-02,0.084,0.7219,0.8861
2020-12-09,0.0816,0.7478,0.9292
2020-12-16,0.0669,0.762,0.9733
2020-12-23,0.0777,0.7785,0.9839
2021-01-01,0.0906,0.7858,0.9584
2021-01-08,0.0573,0.8337,0.9869
2021-01-15,0.0422,0.8628,0.9886
2021-01-22,0.033,0.8873,0.9902
2021-01-29,0.0343,0.8936,0.9919
2021-02-05,0.0307,0.8876,0.9924
2021-02-12,0.0272,0.8971,0.9933
2021-02-19,0.029,0.9047,0.9938
2021-02-26,0.0256,0.9179,0.994
2021-03-05,0.0275,0.9143,0.9942
2021-03-12,0.0265,0.9123,0.9941
2021-03-19,0.0263,0.8991,0.9943
2021-03-26,0.028,0.911,0.994
2021-04-02,0.0323,0.9066,0.9938
2021-04-09,0.0369,0.8853,0.9941
2021-04-16,0.0313,0.8912,0.994
2021-04-23,0.0413,0.8492,0.9937
2021-04-30,0.0378,0.8609,0.9933
2021-05-07,0.0397,0.873,0.9922
2021-05-14,0.0515,0.8214,0.9848
2021-05-21,0.0519,0.8157,0.9805
