dates,l1,ssim,accuracy
2020-01-01,0.0558,0.8107,0.9947
2020-01-08,0.046,0.8575,0.9951
2020-01-15,0.0384,0.8764,0.9952
2020-01-22,0.0342,0.884,0.9953
2020-01-29,0.0339,0.8816,0.9953
2020-02-05,0.0302,0.8847,0.9953
2020-02-12,0.0332,0.8888,0.9954
2020-02-19,0.041,0.8772,0.9952
2020-02-26,0.035,0.8816,0.9951
2020-03-04,0.0352,0.8625,0.995
2020-03-11,0.0319,0.8745,0.9951
2020-03-18,0.0357,0.8825,0.995
2020-03-25,0.0321,0.8796,0.9952
2020-04-01,0.032,0.8781,0.9952
2020-04-08,0.031,0.8676,0.9952
2020-04-15,0.0344,0.8577,0.995
2020-04-22,0.0357,0.8524,0.9951
2020-04-29,0.0426,0.8088,0.995
2020-05-06,0.0444,0.7998,0.9949
2020-05-13,0.0527,0.7885,0.9948
2020-05-20,0.0548,0.8058,0.995
2020-05-27,0.0713,0.7424,0.9903
2020-06-03,0.0811,0.7277,0.9862
2020-06-10,0.0978,0.6909,0.9787
2020-06-17,0.1213,0.6408,0.9628
2020-06-24,0.1005,0.6131,0.9428
2020-07-01,0.1151,0.5687,0.893
2020-07-08,0.135,0.5248,0.8242
2020-07-15,0.1674,0.4519,0.7336
2020-07-22,0.1374,0.4535,0.7326
2020-07-29,0.1235,0.4292,0.7306
2020-08-05,0.099,0.44,0.7913
2020-08-12,0.0818,0.4622,0.8418
2020-08-19,0.0696,0.5299,0.8842
2020-08-26,0.0703,0.4794,0.9194
2020-09-02,0.0758,0.5245,0.9301
2020-09-09,0.068,0.5197,0.9204
2020-09-16,0.0571,0.5346,0.9174
2020-09-23,0.0836,0.4884,0.8641
2020-09-30,0.1083,0.4718,0.7994
2020-10-07,0.1932,0.303,0.5774
2020-10-14,0.279,0.283,0.4378
2020-10-21,0.3619,0.2853,0.4116
2020-10-28,0.4079,0.3212,0.4891
2020-11-04,0.2496,0.4781,0.7954
2020-11-11,0.1106,0.6501,0.963
2020-11-18,0.0465,0.8083,0.9889
2020-11-25,0.0507,0.8276,0.985
2020-12-02,0.0345,0.8471,0.9945
2020-12-09,0.0413,0.8677,0.9948
2020-12-16,0.0604,0.8035,0.9863
2020-12-23,0.0668,0.7905,0.993
2021-01-01,0.0538,0.8243,0.995
2021-01-08,0.0388,0.8591,0.9953
2021-01-15,0.0296,0.8819,0.9953
2021-01-22,0.0273,0.8947,0.9954
2021-01-29,0.0253,0.8914,0.9954
2021-02-05,0.0272,0.8773,0.9954
2021-02-12,0.026,0.8867,0.9954
2021-02-19,0.0334,0.8769,0.9953
2021-02-26,0.0314,0.8864,0.9951
2021-03-05,0.0285,0.8857,0.9951
2021-03-12,0.0275,0.8827,0.9952
2021-03-19,0.0277,0.8938,0.9952
2021-03-26,0.025,0.8986,0.9953
2021-04-02,0.0287,0.8997,0.9953
2021-04-09,0.0328,0.8803,0.9953
2021-04-16,0.0266,0.8945,0.9952
2021-04-23,0.0327,0.8339,0.9952
2021-04-30,0.0312,0.8641,0.9951
2021-05-07,0.0458,0.8386,0.995
2021-05-14,0.0427,0.8484,0.995
2021-05-21,0.053,0.8219,0.9949
2021-05-28,0.0702,0.7129,0.9922
2021-06-04,0.0801,0.7089,0.9753
2021-06-11,0.088,0.6814,0.9602
2021-06-18,0.0941,0.6092,0.9493
2021-06-25,0.1013,0.6305,0.9281
2021-07-02,0.1154,0.5858,0.9185
2021-07-09,0.113,0.5157,0.8397
2021-07-16,0.1188,0.4538,0.8006
2021-07-23,0.0993,0.4833,0.8802
2021-07-30,0.1094,0.4664,0.8651
2021-08-06,0.1066,0.454,0.8681
2021-08-13,0.0851,0.4809,0.8644
2021-08-20,0.065,0.5053,0.9162
2021-08-27,0.0637,0.5231,0.9215
2021-09-03,0.0767,0.5091,0.9086
2021-09-10,0.1107,0.4965,0.8894
2021-09-17,0.119,0.4949,0.8731
2021-09-24,0.1474,0.4433,0.8583
2021-10-01,0.1863,0.4061,0.7965
2021-10-08,0.2155,0.346,0.6938
2021-10-15,0.259,0.3781,0.7151
2021-10-22,0.2259,0.5345,0.9576
2021-10-29,0.165,0.6746,0.989
2021-11-05,0.0905,0.774,0.9944
2021-11-12,0.0733,0.8397,0.9952
2021-11-19,0.0389,0.87,0.9953
2021-11-26,0.0373,0.88,0.9954
2021-12-03,0.0289,0.8772,0.9954
2021-12-10,0.0375,0.8654,0.9949
2021-12-17,0.0407,0.8622,0.9946
2021-12-24,0.0602,0.8295,0.9922
2022-01-01,0.0515,0.836,0.995
2022-01-08,0.0359,0.8692,0.9953
2022-01-15,0.0289,0.8862,0.9953
2022-01-22,0.0251,0.897,0.9954
2022-01-29,0.0252,0.896,0.9954
2022-02-05,0.0241,0.8978,0.9954
2022-02-12,0.0233,0.8969,0.9954
2022-02-19,0.0274,0.8855,0.9954
2022-02-26,0.0267,0.8959,0.9952
2022-03-05,0.0264,0.8967,0.9951
2022-03-12,0.0235,0.8997,0.9952
2022-03-19,0.0263,0.8926,0.9953
2022-03-26,0.0228,0.9074,0.9953
2022-04-02,0.0235,0.9056,0.9953
2022-04-09,0.0275,0.8904,0.9953
2022-04-16,0.0251,0.8915,0.9953
2022-04-23,0.028,0.8758,0.9952
2022-04-30,0.0292,0.8627,0.9952
2022-05-07,0.0335,0.8613,0.9949
2022-05-14,0.0329,0.8505,0.995
2022-05-21,0.0441,0.8083,0.995
2022-05-28,0.0654,0.7646,0.995
2022-06-04,0.0779,0.686,0.9912
2022-06-11,0.0881,0.7047,0.9731
2022-06-18,0.109,0.6846,0.9684
2022-06-25,0.1215,0.668,0.9587
2022-07-02,0.1281,0.5877,0.9558
2022-07-09,0.1439,0.578,0.9299
2022-07-16,0.1623,0.5304,0.9151
2022-07-23,0.1949,0.4479,0.8625
2022-07-30,0.1886,0.4417,0.8354
2022-08-06,0.1539,0.4584,0.8101
2022-08-13,0.1624,0.4118,0.7676
2022-08-20,0.1654,0.3536,0.7675
2022-08-27,0.1185,0.3924,0.8136
2022-09-03,0.1241,0.432,0.8298
2022-09-10,0.0982,0.457,0.867
2022-09-17,0.0828,0.4559,0.8797
2022-09-24,0.0942,0.5,0.889
2022-10-01,0.1379,0.4523,0.8382
2022-10-08,0.1785,0.3534,0.7396
2022-10-15,0.2347,0.3918,0.7553
2022-10-22,0.2161,0.4394,0.8319
2022-10-29,0.1277,0.6142,0.9839
2022-11-05,0.0725,0.7431,0.99
2022-11-12,0.0563,0.8168,0.9953
2022-11-19,0.036,0.8694,0.9953
2022-11-26,0.0328,0.8874,0.9954
2022-12-03,0.0291,0.8761,0.9954
2022-12-10,0.0347,0.8747,0.9949
2022-12-17,0.0383,0.8704,0.9947
2022-12-24,0.0557,0.8371,0.9934
2023-01-01,0.046,0.8443,0.995
2023-01-08,0.0317,0.877,0.9953
2023-01-15,0.026,0.8962,0.9953
2023-01-22,0.0214,0.9066,0.9954
2023-01-29,0.0208,0.9059,0.9954
2023-02-05,0.0228,0.9038,0.9954
2023-02-12,0.0216,0.9099,0.9954
2023-02-19,0.0234,0.891,0.9953
2023-02-26,0.0241,0.8996,0.9952
2023-03-05,0.0235,0.9025,0.9951
2023-03-12,0.0212,0.9051,0.9952
2023-03-19,0.0256,0.8846,0.9953
2023-03-26,0.0211,0.9114,0.9953
2023-04-02,0.021,0.9135,0.9953
2023-04-09,0.0232,0.905,0.9953
2023-04-16,0.0216,0.9068,0.9952
2023-04-23,0.0239,0.8919,0.9952
2023-04-30,0.0285,0.8815,0.9951
2023-05-07,0.0345,0.865,0.995
2023-05-14,0.0378,0.8398,0.995
2023-05-21,0.064,0.7405,0.995
2023-05-28,0.0666,0.7,0.995
2023-06-04,0.0794,0.6835,0.9945
2023-06-11,0.0887,0.6815,0.9911
2023-06-18,0.1045,0.6722,0.9842
2023-06-25,0.0937,0.6185,0.9698
2023-07-02,0.1205,0.5654,0.9634
2023-07-09,0.1257,0.4997,0.9286
2023-07-16,0.1069,0.5288,0.9096
2023-07-23,0.1144,0.4742,0.8629
2023-07-30,0.1239,0.4111,0.8434
2023-08-06,0.1265,0.397,0.8418
2023-08-13,0.1363,0.3822,0.8079
2023-08-20,0.1386,0.408,0.7926
2023-08-27,0.1384,0.4025,0.8101
2023-09-03,0.1549,0.4515,0.789
2023-09-10,0.1846,0.395,0.7516
2023-09-17,0.1943,0.3848,0.7319
