dates,l1,ssim,accuracy
2012-01-01,0.0702,0.7297,0.9467
2012-01-08,0.0684,0.7585,0.9596
2012-01-15,0.0703,0.7667,0.9643
2012-01-22,0.0699,0.7471,0.9564
2012-01-29,0.0731,0.7239,0.9477
2012-02-05,0.1426,0.6187,0.8571
2012-02-12,0.1167,0.6439,0.8932
2012-02-19,0.1026,0.6807,0.9099
2012-02-26,0.0935,0.6943,0.9397
2012-03-04,0.073,0.7542,0.9583
2012-03-11,0.0907,0.706,0.9277
2012-03-18,0.0773,0.7442,0.9463
2012-03-25,0.0628,0.7868,0.9674
2012-04-01,0.0632,0.7737,0.9655
2012-04-08,0.0654,0.7571,0.9545
2012-04-15,0.0634,0.7732,0.9777
2012-04-22,0.0635,0.7813,0.9798
2012-04-29,0.077,0.736,0.9565
2012-05-06,0.0866,0.72,0.9548
2012-05-13,0.0911,0.697,0.9383
2012-05-20,0.0842,0.6988,0.9531
2012-05-27,0.0816,0.6587,0.964
2012-06-03,0.082,0.6631,0.9205
2012-06-10,0.0845,0.6505,0.8914
2012-06-17,0.0845,0.588,0.8687
2012-06-24,0.0864,0.5688,0.8476
2012-07-01,0.0784,0.5437,0.8743
2012-07-08,0.0597,0.5651,0.9008
2012-07-15,0.0509,0.5728,0.9261
2012-07-22,0.045,0.5375,0.9335
2012-07-29,0.0307,0.6,0.9634
2012-08-05,0.0317,0.6352,0.9641
2012-08-12,0.0243,0.705,0.9753
2012-08-19,0.0248,0.61,0.9712
2012-08-26,0.0371,0.6004,0.9505
2012-09-02,0.0453,0.5747,0.9378
2012-09-09,0.0588,0.5188,0.9108
2012-09-16,0.0663,0.548,0.8958
2012-09-23,0.0751,0.5098,0.8946
2012-09-30,0.0633,0.5201,0.9101
2012-10-07,0.0677,0.5329,0.8815
2012-10-14,0.073,0.5265,0.8574
2012-10-21,0.1084,0.5272,0.8017
2012-10-28,0.1214,0.5256,0.7966
2012-11-04,0.1271,0.5543,0.8073
2012-11-11,0.1812,0.4891,0.7405
2012-11-18,0.1658,0.5289,0.7749
2012-11-25,0.1245,0.6164,0.8358
2012-12-02,0.1183,0.6467,0.8634
2012-12-09,0.1013,0.6737,0.8944
2012-12-16,0.1497,0.5931,0.8353
2012-12-23,0.1156,0.6597,0.8961
2013-01-01,0.0904,0.7159,0.9531
2013-01-08,0.1228,0.6617,0.917
2013-01-15,0.073,0.7384,0.9748
2013-01-22,0.0921,0.7119,0.9742
2013-01-29,0.0932,0.7308,0.979
2013-02-05,0.0901,0.7283,0.9644
2013-02-12,0.0828,0.7441,0.9827
2013-02-19,0.0866,0.7593,0.99
2013-02-26,0.0989,0.7217,0.9823
2013-03-05,0.1008,0.7068,0.9746
2013-03-12,0.1057,0.7113,0.9655
2013-03-19,0.1042,0.7113,0.9669
2013-03-26,0.1109,0.7146,0.9619
2013-04-02,0.1001,0.7151,0.956
2013-04-09,0.1057,0.7257,0.9589
2013-04-16,0.0997,0.7412,0.9696
2013-04-23,0.0937,0.7398,0.9641
2013-04-30,0.1032,0.694,0.9367
2013-05-07,0.1008,0.7254,0.9646
2013-05-14,0.1063,0.6831,0.961
2013-05-21,0.1042,0.6924,0.961
2013-05-28,0.1145,0.6688,0.9582
2013-06-04,0.1244,0.6303,0.9119
2013-06-11,0.1387,0.5606,0.8715
2013-06-18,0.147,0.53,0.8315
2013-06-25,0.1215,0.5395,0.8312
2013-07-02,0.1112,0.5077,0.8415
2013-07-09,0.1092,0.4815,0.8529
2013-07-16,0.0776,0.4734,0.8858
2013-07-23,0.0678,0.4786,0.9041
2013-07-30,0.0699,0.4797,0.9179
2013-08-06,0.0632,0.5055,0.9229
2013-08-13,0.0546,0.5261,0.9292
2013-08-20,0.0514,0.4991,0.9269
2013-08-27,0.0538,0.4751,0.9196
2013-09-03,0.0438,0.5076,0.9326
2013-09-10,0.0424,0.5403,0.932
2013-09-17,0.0409,0.5833,0.9267
2013-09-24,0.0445,0.5457,0.9292
2013-10-01,0.0498,0.5148,0.9318
2013-10-08,0.0572,0.5622,0.932
2013-10-15,0.0743,0.5327,0.9292
2013-10-22,0.102,0.5641,0.9246
2013-10-29,0.118,0.5962,0.924
2013-11-05,0.1022,0.6403,0.9183
2013-11-12,0.0902,0.6599,0.9218
2013-11-19,0.0915,0.6817,0.9183
2013-11-26,0.0772,0.6973,0.9476
2013-12-03,0.0914,0.7348,0.9604
2013-12-10,0.1003,0.7201,0.9523
2013-12-17,0.0961,0.7215,0.9647
2013-12-24,0.1132,0.7133,0.9557
2014-01-01,0.0848,0.7793,0.975
2014-01-08,0.0693,0.7859,0.9791
2014-01-15,0.0649,0.8042,0.9801
2014-01-22,0.0673,0.7981,0.9816
2014-01-29,0.0487,0.8183,0.9855
2014-02-05,0.051,0.7959,0.9753
2014-02-12,0.0762,0.7462,0.9398
2014-02-19,0.0742,0.7835,0.9529
2014-02-26,0.0806,0.7535,0.9338
2014-03-05,0.0716,0.7538,0.9476
2014-03-12,0.0741,0.7487,0.9589
2014-03-19,0.0588,0.7982,0.9736
2014-03-26,0.0612,0.8093,0.9754
2014-04-02,0.0608,0.7999,0.974
2014-04-09,0.074,0.7878,0.9692
2014-04-16,0.0782,0.7771,0.9627
2014-04-23,0.0633,0.7881,0.9704
2014-04-30,0.0957,0.7573,0.9502
2014-05-07,0.1128,0.7168,0.9388
2014-05-14,0.0966,0.747,0.952
2014-05-21,0.1055,0.6948,0.9402
2014-05-28,0.1032,0.6583,0.9368
2014-06-04,0.1094,0.6313,0.9282
2014-06-11,0.1118,0.6396,0.9423
2014-06-18,0.0985,0.6424,0.9386
2014-06-25,0.1064,0.5976,0.9328
2014-07-02,0.1039,0.5754,0.893
2014-07-09,0.0983,0.5264,0.8735
2014-07-16,0.102,0.4945,0.8713
2014-07-23,0.0946,0.4905,0.8883
2014-07-30,0.0884,0.51,0.8842
2014-08-06,0.0751,0.5479,0.9035
2014-08-13,0.0765,0.536,0.8802
2014-08-20,0.0808,0.5299,0.8811
2014-08-27,0.0771,0.5439,0.8808
2014-09-03,0.0746,0.5507,0.8858
2014-09-10,0.0741,0.5583,0.8923
2014-09-17,0.0685,0.5346,0.895
2014-09-24,0.0668,0.5836,0.8953
2014-10-01,0.0761,0.5798,0.8883
2014-10-08,0.0833,0.5574,0.8848
2014-10-15,0.1341,0.5294,0.8596
2014-10-22,0.1491,0.5882,0.9089
2014-10-29,0.1384,0.6155,0.9262
2014-11-05,0.1386,0.6748,0.9256
2014-11-12,0.1379,0.6666,0.9232
2014-11-19,0.1529,0.6642,0.9192
2014-11-26,0.1367,0.6982,0.9277
2014-12-03,0.1169,0.7062,0.9385
2014-12-10,0.08,0.7501,0.963
2014-12-17,0.0755,0.7677,0.9685
2014-12-24,0.1068,0.7357,0.9455
2015-01-01,0.0522,0.8227,0.9812
2015-01-08,0.0602,0.799,0.9734
2015-01-15,0.0592,0.7958,0.9747
2015-01-22,0.0686,0.7852,0.9687
2015-01-29,0.0742,0.7933,0.9698
2015-02-05,0.0692,0.7751,0.9662
2015-02-12,0.068,0.8063,0.9754
2015-02-19,0.0522,0.8156,0.9806
2015-02-26,0.0563,0.8186,0.9746
2015-03-05,0.0622,0.797,0.9656
2015-03-12,0.0645,0.7678,0.9674
2015-03-19,0.0511,0.8119,0.9851
2015-03-26,0.0607,0.829,0.9833
2015-04-02,0.0537,0.8017,0.9755
2015-04-09,0.0618,0.773,0.9601
2015-04-16,0.0629,0.7709,0.9617
2015-04-23,0.0595,0.7785,0.9614
2015-04-30,0.0585,0.8031,0.9779
2015-05-07,0.0682,0.7691,0.9754
2015-05-14,0.0792,0.7408,0.971
2015-05-21,0.0777,0.7395,0.9747
2015-05-28,0.0924,0.6873,0.953
2015-06-04,0.0942,0.6535,0.9233
2015-06-11,0.1064,0.634,0.898
2015-06-18,0.1046,0.6054,0.8707
2015-06-25,0.0939,0.6305,0.8623
2015-07-02,0.09,0.6199,0.8629
2015-07-09,0.0871,0.5787,0.8868
2015-07-16,0.0798,0.5497,0.92
2015-07-23,0.0772,0.5434,0.9058
2015-07-30,0.0773,0.5235,0.8985
2015-08-06,0.0753,0.5223,0.902
2015-08-13,0.0758,0.4976,0.8939
2015-08-20,0.0683,0.5083,0.9042
2015-08-27,0.0553,0.5067,0.9216
2015-09-03,0.0617,0.5026,0.9142
2015-09-10,0.0534,0.5235,0.92
2015-09-17,0.0614,0.5229,0.9164
2015-09-24,0.0637,0.5573,0.9071
2015-10-01,0.0678,0.5415,0.9027
2015-10-08,0.0836,0.545,0.846
2015-10-15,0.1088,0.5364,0.7998
2015-10-22,0.1237,0.5766,0.7932
2015-10-29,0.1235,0.5932,0.8179
2015-11-05,0.1055,0.6548,0.8502
2015-11-12,0.1229,0.6314,0.8476
2015-11-19,0.1522,0.6095,0.8258
2015-11-26,0.1327,0.646,0.8845
2015-12-03,0.0978,0.7177,0.9063
2015-12-10,0.0935,0.7438,0.9226
2015-12-17,0.0739,0.7668,0.9439
2015-12-24,0.0993,0.7275,0.9286
