dates,l1,ssim,accuracy
2020-01-01,0.0497,0.7718,0.9829
2020-01-08,0.0574,0.7726,0.974
2020-01-15,0.065,0.7583,0.9633
2020-01-22,0.0614,0.762,0.9676
2020-01-29,0.0932,0.7355,0.9557
2020-02-05,0.0585,0.7692,0.9726
2020-02-12,0.0587,0.7579,0.9681
2020-02-19,0.0598,0.7264,0.9613
2020-02-26,0.0693,0.7257,0.9693
2020-03-04,0.056,0.7593,0.9703
2020-03-11,0.0539,0.7755,0.9686
2020-03-18,0.06,0.7604,0.9688
2020-03-25,0.0615,0.7589,0.964
2020-04-01,0.0769,0.7541,0.9618
2020-04-08,0.0755,0.7654,0.9671
2020-04-15,0.0758,0.768,0.9664
2020-04-22,0.0723,0.7196,0.964
2020-04-29,0.0759,0.7154,0.9573
2020-05-06,0.0801,0.7204,0.9661
2020-05-13,0.0882,0.6914,0.9549
2020-05-20,0.1137,0.6307,0.9132
2020-05-27,0.1069,0.6244,0.8917
2020-06-03,0.1109,0.6104,0.8843
2020-06-10,0.106,0.6008,0.8762
2020-06-17,0.1048,0.5809,0.8657
2020-06-24,0.0957,0.597,0.8793
2020-07-01,0.0886,0.5942,0.8942
2020-07-08,0.064,0.6522,0.9219
2020-07-15,0.0559,0.6585,0.9108
2020-07-22,0.0565,0.6507,0.9145
2020-07-29,0.0447,0.6714,0.9367
2020-08-05,0.0446,0.6803,0.9415
2020-08-12,0.0409,0.6825,0.9454
2020-08-19,0.0381,0.7094,0.9407
2020-08-26,0.0494,0.6854,0.9318
2020-09-02,0.0536,0.6877,0.9199
2020-09-09,0.0577,0.6278,0.9173
2020-09-16,0.0576,0.663,0.9167
2020-09-23,0.0574,0.6969,0.9139
2020-09-30,0.0633,0.6882,0.9055
2020-10-07,0.0636,0.6676,0.9098
2020-10-14,0.0708,0.6389,0.8885
2020-10-21,0.082,0.6152,0.8586
2020-10-28,0.0878,0.616,0.8531
2020-11-04,0.0929,0.6295,0.8888
2020-11-11,0.1153,0.579,0.8649
2020-11-18,0.1298,0.5481,0.8277
2020-11-25,0.1171,0.5848,0.851
2020-12-02,0.1401,0.5653,0.8251
2020-12-09,0.1069,0.6188,0.8787
2020-12-16,0.0901,0.6518,0.9165
2020-12-23,0.0778,0.6866,0.9431
2021-01-01,0.0788,0.7074,0.9612
2021-01-08,0.0766,0.6805,0.9335
2021-01-15,0.0605,0.7209,0.9638
2021-01-22,0.0796,0.7105,0.975
2021-01-29,0.0786,0.7204,0.973
2021-02-05,0.0813,0.6998,0.9583
2021-02-12,0.0977,0.6876,0.948
2021-02-19,0.0919,0.7057,0.9481
2021-02-26,0.0738,0.7095,0.9589
2021-03-05,0.0802,0.7065,0.9489
2021-03-12,0.0754,0.7257,0.9565
2021-03-19,0.0883,0.7035,0.9455
2021-03-26,0.0887,0.6899,0.9489
2021-04-02,0.0906,0.678,0.9451
2021-04-09,0.1021,0.6429,0.9239
2021-04-16,0.083,0.6835,0.9532
2021-04-23,0.079,0.6792,0.959
2021-04-30,0.0988,0.6894,0.9461
2021-05-07,0.1057,0.6539,0.945
2021-05-14,0.1125,0.6421,0.9394
2021-05-21,0.137,0.6179,0.9078
2021-05-28,0.1591,0.5445,0.8429
2021-06-04,0.1686,0.5282,0.825
2021-06-11,0.175,0.5022,0.7877
2021-06-18,0.1511,0.5351,0.8226
2021-06-25,0.1496,0.5362,0.8296
2021-07-02,0.1263,0.6022,0.8669
2021-07-09,0.1277,0.5973,0.8715
2021-07-16,0.1332,0.5867,0.852
2021-07-23,0.103,0.6336,0.8727
2021-07-30,0.0903,0.6399,0.8733
2021-08-06,0.0687,0.6498,0.8905
2021-08-13,0.0667,0.6431,0.8818
2021-08-20,0.0592,0.6601,0.8904
2021-08-27,0.0523,0.6744,0.9045
2021-09-03,0.0584,0.6593,0.9046
2021-09-10,0.05,0.6733,0.9073
2021-09-17,0.0464,0.6818,0.9217
2021-09-24,0.0444,0.6982,0.9278
2021-10-01,0.0509,0.6903,0.9218
2021-10-08,0.0658,0.6606,0.913
2021-10-15,0.0741,0.6372,0.9129
2021-10-22,0.0739,0.6599,0.9185
2021-10-29,0.113,0.6238,0.9118
2021-11-05,0.082,0.6403,0.9412
2021-11-12,0.1087,0.6128,0.9147
2021-11-19,0.141,0.607,0.9018
2021-11-26,0.1579,0.6047,0.898
2021-12-03,0.1656,0.6022,0.9051
2021-12-10,0.1473,0.6059,0.9067
2021-12-17,0.1418,0.6197,0.9215
2021-12-24,0.1268,0.6496,0.9368
2022-01-01,0.066,0.7714,0.9679
2022-01-08,0.0643,0.7804,0.969
2022-01-15,0.0566,0.7763,0.9701
2022-01-22,0.0631,0.7728,0.9704
2022-01-29,0.0753,0.7008,0.9535
2022-02-05,0.0623,0.7615,0.9671
2022-02-12,0.1011,0.6715,0.9181
2022-02-19,0.079,0.7181,0.9583
2022-02-26,0.0731,0.7294,0.9532
2022-03-05,0.066,0.7597,0.9681
2022-03-12,0.0816,0.71,0.9465
2022-03-19,0.0939,0.6837,0.9366
2022-03-26,0.0633,0.7423,0.9684
2022-04-02,0.063,0.7404,0.9645
2022-04-09,0.0671,0.7349,0.967
2022-04-16,0.0578,0.7541,0.9758
2022-04-23,0.058,0.7522,0.9726
2022-04-30,0.0692,0.6978,0.968
2022-05-07,0.0786,0.6985,0.9633
2022-05-14,0.0793,0.6866,0.9647
2022-05-21,0.094,0.6251,0.9401
2022-05-28,0.07,0.6624,0.9397
2022-06-04,0.075,0.6388,0.954
2022-06-11,0.0711,0.6647,0.9452
2022-06-18,0.0753,0.6501,0.924
2022-06-25,0.0875,0.6311,0.9033
2022-07-02,0.0902,0.6259,0.9071
2022-07-09,0.0824,0.6104,0.9267
2022-07-16,0.0707,0.6439,0.9394
2022-07-23,0.073,0.6757,0.9342
2022-07-30,0.0571,0.6644,0.9246
2022-08-06,0.0621,0.6544,0.9298
2022-08-13,0.0502,0.6748,0.9263
2022-08-20,0.0478,0.6878,0.9288
2022-08-27,0.0429,0.6821,0.9325
2022-09-03,0.0418,0.6739,0.9357
2022-09-10,0.044,0.6811,0.9482
2022-09-17,0.0414,0.6954,0.9427
2022-09-24,0.0502,0.6693,0.9412
2022-10-01,0.0512,0.6478,0.9351
2022-10-08,0.0632,0.6156,0.897
2022-10-15,0.0815,0.5959,0.8266
2022-10-22,0.1001,0.5963,0.8329
2022-10-29,0.1112,0.598,0.8608
2022-11-05,0.0936,0.626,0.9004
2022-11-12,0.0844,0.6378,0.9145
2022-11-19,0.0841,0.6588,0.9064
2022-11-26,0.0863,0.6739,0.9033
2022-12-03,0.1033,0.6392,0.8825
2022-12-10,0.0879,0.678,0.9202
2022-12-17,0.0907,0.6637,0.9217
2022-12-24,0.072,0.6965,0.9503
2023-01-01,0.078,0.6865,0.9329
2023-01-08,0.0687,0.7538,0.9765
2023-01-15,0.0759,0.7099,0.9557
2023-01-22,0.08,0.675,0.952
2023-01-29,0.0665,0.7204,0.9593
2023-02-05,0.0603,0.7539,0.967
2023-02-12,0.0922,0.6823,0.9339
2023-02-19,0.085,0.6914,0.9491
2023-02-26,0.0802,0.7162,0.9456
2023-03-05,0.0599,0.7594,0.966
2023-03-12,0.067,0.7443,0.958
2023-03-19,0.0531,0.7852,0.9755
2023-03-26,0.0568,0.7538,0.9667
2023-04-02,0.0663,0.7462,0.9611
2023-04-09,0.0727,0.7555,0.9538
2023-04-16,0.0766,0.7434,0.9505
2023-04-23,0.072,0.7293,0.9505
2023-04-30,0.0656,0.7401,0.9605
2023-05-07,0.085,0.7127,0.9555
2023-05-14,0.0876,0.7066,0.9528
2023-05-21,0.0937,0.69,0.9497
2023-05-28,0.083,0.6504,0.9491
2023-06-04,0.0907,0.6687,0.9485
2023-06-11,0.0871,0.6365,0.9375
2023-06-18,0.0762,0.6565,0.9321
2023-06-25,0.0828,0.6436,0.9285
2023-07-02,0.0858,0.6312,0.9376
2023-07-09,0.0831,0.6253,0.9421
2023-07-16,0.0882,0.6119,0.9299
2023-07-23,0.0855,0.5939,0.9239
2023-07-30,0.0716,0.6291,0.9269
2023-08-06,0.0532,0.6394,0.9324
2023-08-13,0.0622,0.6175,0.9332
2023-08-20,0.0642,0.6347,0.9329
2023-08-27,0.0625,0.6417,0.9298
2023-09-03,0.0626,0.6276,0.9335
2023-09-10,0.0472,0.6449,0.9402
2023-09-17,0.0527,0.656,0.9351
2023-09-24,0.0561,0.6348,0.9358
2023-10-01,0.0589,0.6739,0.9527
2023-10-08,0.0618,0.649,0.9294
2023-10-15,0.0652,0.6622,0.9261
2023-10-22,0.0601,0.6745,0.9373
2023-10-29,0.0815,0.659,0.9376
2023-11-05,0.0822,0.6384,0.9389
2023-11-12,0.0846,0.6473,0.933
2023-11-19,0.1088,0.6575,0.9226
2023-11-26,0.0812,0.6863,0.9311
2023-12-03,0.086,0.6999,0.9465
2023-12-10,0.0879,0.68,0.9438
2023-12-17,0.0797,0.6703,0.9397
2023-12-24,0.0853,0.7114,0.9644
