dates,l1,ssim,accuracy
2020-01-01,0.0241,0.908,0.9954
2020-01-08,0.019,0.9217,0.9954
2020-01-15,0.0196,0.9223,0.9954
2020-01-22,0.0194,0.9173,0.9954
2020-01-29,0.0198,0.9157,0.9954
2020-02-05,0.0205,0.9159,0.9954
2020-02-12,0.0196,0.9198,0.9954
2020-02-19,0.0189,0.9197,0.9954
2020-02-26,0.0219,0.908,0.9954
2020-03-04,0.023,0.8974,0.9954
2020-03-11,0.0203,0.9117,0.9954
2020-03-18,0.0187,0.9191,0.9954
2020-03-25,0.0194,0.9131,0.9954
2020-04-01,0.0225,0.9022,0.9954
2020-04-08,0.0234,0.9007,0.9954
2020-04-15,0.0221,0.8981,0.9954
2020-04-22,0.0222,0.8942,0.9954
2020-04-29,0.0361,0.8451,0.9954
2020-05-06,0.0367,0.8387,0.9954
2020-05-13,0.05,0.798,0.9954
2020-05-20,0.0505,0.8112,0.9954
2020-05-27,0.0677,0.7617,0.9911
2020-06-03,0.0794,0.7568,0.9867
2020-06-10,0.0976,0.7074,0.9793
2020-06-17,0.1171,0.6423,0.9633
2020-06-24,0.1077,0.6283,0.9471
2020-07-01,0.1308,0.5794,0.8902
2020-07-08,0.1463,0.523,0.821
2020-07-15,0.1695,0.4472,0.7727
2020-07-22,0.1359,0.4662,0.76
2020-07-29,0.1254,0.4143,0.7785
2020-08-05,0.1069,0.4049,0.863
2020-08-12,0.0898,0.4504,0.911
2020-08-19,0.0679,0.5179,0.9282
2020-08-26,0.0646,0.5831,0.9078
2020-09-02,0.0784,0.5806,0.9205
2020-09-09,0.0539,0.6063,0.9407
2020-09-16,0.0593,0.547,0.9326
2020-09-23,0.0859,0.4209,0.873
2020-09-30,0.1869,0.3034,0.5878
2020-10-07,0.293,0.2661,0.4658
2020-10-14,0.3535,0.2634,0.4406
2020-10-21,0.4246,0.263,0.4154
2020-10-28,0.4363,0.3104,0.489
2020-11-04,0.2716,0.4745,0.7954
2020-11-11,0.1125,0.6624,0.9633
2020-11-18,0.0509,0.8111,0.9891
2020-11-25,0.0463,0.853,0.9851
2020-12-02,0.0295,0.8833,0.9947
2020-12-09,0.0237,0.9097,0.9954
2020-12-16,0.0422,0.8505,0.9872
